Decade,Year,Name,Image,ImageDescription,Image2,Image3,ImageDescription2,ImageDescription3,Country1,Country2,Country3,Country4,Flag1,Flag2,Flag3,Flag4,NameOther,Tons burthen,Complement,Armament,Builder,Launched,Length,Propulsion,Laid down,Fate,Class,Sail plan,Port of registry,Namesake,Owner,In service,Out of service,Completed,Captured,Acquired,Commissioned,Honours andawards,Beam,Draught,Depth of hold,Ordered,Renamed,Decommissioned,Homeport,Type,Displacement,Draft,Range,Masts:,Foremast:,Mainmast:,Mizzenmast:,Other masts:,ClassRate
1670,1670,HMS Eagle (1679),//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Peter_Monamy_-_The_venerable_HMS_Eagle_making_ready_to_sail_from_her_offshore_anchorage.jpg/300px-Peter_Monamy_-_The_venerable_HMS_Eagle_making_ready_to_sail_from_her_offshore_anchorage.jpg,"HMS Eagle making ready to sail from her offshore anchorage in the Nore, by Peter Monamy",//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/HMS_Association_%281697%29.jpg/300px-HMS_Association_%281697%29.jpg,,"Sir Cloudesly Shovel in theAssociationwith theEagle,Rumneyand theFirebrand, lost on the rocks of Scilly",,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMSEagle, 109955⁄94tons (bm),, 1685 Establishment 70/62 guns26 × demi-cannons (54 cwt – 9.5 ft (LD)26 × demi-culverins (UD)10 × sakers 16 cwt – 7 ft (QD)4 × sakers 16 cwt – 7 ft (Fc)5 × 5 3-pdr guns 5 cwt – 5 ft (RH)," Furzer, Portsmouth Dockyard", 31 January 1679, 156\xa0ft 6\xa0in (47.7\xa0m) gundeck125\xa0ft 0\xa0in (38.1\xa0m) keel for tonnage, Sails,," Wrecked and lost with all hands, Scilly Islands 22 October 1707", 70-gun third rate ship of the line, Full-rigged ship,,,,,,,,,1690, Barfleur 1692Gibraltar 1704Velez Malaga 1704, 40\xa0ft 8\xa0in (12.4\xa0m), 18\xa0ft 0\xa0in (5.5\xa0m), 17\xa0ft 3\xa0in (5.3\xa0m), April 1677,,,,,,,,,,,,,Third Rate
1670,1670,HMS Kent (1679),//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/PrincesaVs3brits%C3%81ngelCortelliniS%C3%A1nchez%281858-1912%29museonavaldemadrid.jpg/300px-PrincesaVs3brits%C3%81ngelCortelliniS%C3%A1nchez%281858-1912%29museonavaldemadrid.jpg,"Battle between the Spanish 70-gun Princesa (right foreground), and HMS Lenox, Orford and Kent, 8 April 1740",//upload.wikimedia.org/wikipedia/commons/thumb/b/be/%27Kent%27_%281724%29%3B_%27Grafton%27_%281725%29_RMG_J3123.png/220px-%27Kent%27_%281724%29%3B_%27Grafton%27_%281725%29_RMG_J3123.png,,Plan of HMSKent's 1724 rebuild,,Kingdom of England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMSKent," 1,06530⁄94tons (bm)",, 1677 Establishment 72/60 guns26 × demi-cannons 54 cwt – 9.5 ft (LD)26 × 12-pdr guns 32 cwt – 9 ft (UD)10 × sakers 16 cwt – 7 ft (QD)4 × sakers 16 cwt – 7 ft (Fc)5 × 5 3-pdr guns 5 cwt – 5 ft (RH), Sir Henry Johnson of Blackwall,1679, 151\xa0ft 6\xa0in (46.18\xa0m) gundeck123\xa0ft 7.5\xa0in (37.68\xa0m) keel for tonnage, Sails,, Breaking completed at Chatham December 1744, 70-gun third rate ship of the line, Full-rigged ship,,,,,,,,, 25 September 1679, Barfleur 1692Vigo 1704Velez-Malaga 1704Passero 1718, 40\xa0ft 3\xa0in (12.27\xa0m), 18\xa0ft 0\xa0in (5.49\xa0m), 16\xa0ft 7\xa0in (5.05\xa0m), 20 February 1678,,,,,,,,,,,,,Third Rate
1670,1670,HMY Mary (1677),//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Willem_van_de_Velde_the_Younger_-_The_Departure_of_William_of_Orange_and_Princess_Mary_for_Holland_nmm_BHC0322.jpg/300px-Willem_van_de_Velde_the_Younger_-_The_Departure_of_William_of_Orange_and_Princess_Mary_for_Holland_nmm_BHC0322.jpg,"The Departure of William of Orange and Princess Mary for Holland, by Willem van de Velde the Younger. HMY Mary is in the centre of the picture.",//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/%27Mary%27_%28no_date%29_RMG_J7603.png/220px-%27Mary%27_%28no_date%29_RMG_J7603.png,,Plan of theMary1727 rebuild,,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMYMary, 16372⁄94(bm), 30 (20 in peacetime), 8 guns, Chatham Dockyard(1677)Deptford Dockyard(1726), 167716 March 1728, 76\xa0ft 6\xa0in (23.3\xa0m) (gundeck)61\xa0ft 6\xa0in (18.7\xa0m) (keel),,, Broken up in 1816, 8-gunyacht, Ketch rigged(1736–1783)Full-rigged ship(1783–1816),,,,,,,,,,, 22\xa0ft 4\xa0in (6.8\xa0m),, 9\xa0ft 8\xa0in (2.9\xa0m), 3 November 1726,,,,,,,,,,,,,Yacht
1680,1680,HMS Coronation,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/HMS_Coronation.jpg/300px-HMS_Coronation.jpg,Coronation,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/The_Foundering_of_the_%27Coronation%27_90_Guns_at_Rame_Head.jpg/220px-The_Foundering_of_the_%27Coronation%27_90_Guns_at_Rame_Head.jpg,,"The foundering ofCoronation, byLudolf Bakhuizen",,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, Coronation," 1,345 (bm)",, 90 guns of various weights of shot," Isaac Betts, Portsmouth Dockyard", 23 May 1685, 160\xa0ft 4\xa0in (48.9\xa0m) (gundeck),,," Wrecked, 3 September 1691", 90-gunsecond-rateship of the line, Full-rigged ship,,,,,,,,, 14 February 1690,, 44\xa0ft 9\xa0in (13.6\xa0m),, 18\xa0ft 2\xa0in (5.5\xa0m),1678,,,,,,,,,,,,,Second Rate
1680,1680,HMS Exeter (1680),,,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Battle_of_Beachy_Head%2C_10_July_1690.PNG/220px-Battle_of_Beachy_Head%2C_10_July_1690.PNG,,"Beachy Head, 10 July 1690:Exeterand the blue squadron (rear) were opposed to d'Estrees' French rear",,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMSExeter," 1,03188⁄94tons (bm)",, 1677 Establishment 70/62 guns26 × demi-cannons (54 cwt – 9.5 ft (LD)26 × 12-pdr guns 32 cwt – 9 ft (UD)10 × sakers 16 cwt – 7 ft (QD)4 × sakers 16 cwt – 7 ft (Fc)5 × 5 3-pdr guns 5 cwt – 5 ft (RH), Sir Henry Johnson of Blackwall, March 1680, 150\xa0ft 2\xa0in (45.77\xa0m) gundeck120\xa0ft 0\xa0in (36.58\xa0m) keel for tonnage, Sails,," Accidentally burnt at Plymouth, Broken at Portsmouth in 1717", 70-gunthird rateship of the line, Full-rigged ship,,,,,,,,, 8 June 1679,, 40\xa0ft 2.5\xa0in (12.26\xa0m), 18\xa0ft 0\xa0in (5.49\xa0m), 16\xa0ft 9.5\xa0in (5.12\xa0m), 20 February 1678,,,,,,,,,,,,,Third Rate
1680,1680,HMS Mordaunt,//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/HMSMordaunt.jpg/200px-HMSMordaunt.jpg,Drawing of Mordaunt by Willem van de Velde the Elder,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/An_English_Fourth_Rate_ship-of-the-line%2C_thought_to_be_the_46-gun_H.M.S._Mordaunt%2C_announcing_her_departure_from_the_fleet_anchorage_CSK_2012.jpg/220px-An_English_Fourth_Rate_ship-of-the-line%2C_thought_to_be_the_46-gun_H.M.S._Mordaunt%2C_announcing_her_departure_from_the_fleet_anchorage_CSK_2012.jpg,,"An English Fourth Rate ship-of-the-line, thought to be the 46-gunMordaunt, announcing her departure from theFleetanchorage (Willem van de Velde the Elder)",,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, Mordaunt, 56726⁄94(bm), 230 at commissioning, 46 guns comprising:Lower deck: 20 × 12-pounder gunsUpper deck: 18 × 8-pounder gunsQuarterdeck: 6 × 51⁄4-poundersakers," William Castle, Deptford",1681, 122\xa0ft 6\xa0in (37.3\xa0m) (gundeck)101\xa0ft 9\xa0in (31.0\xa0m) (keel),,," Sank offCuba, 21 November 1693", 46-gunship of the line, Full-rigged ship,,,, 1684–1693,,,, 7 October 1682, 20 May 1684,, 32\xa0ft 4.5\xa0in (9.9\xa0m),, 13\xa0ft 0\xa0in (4.0\xa0m),,,,,,,,,,,,,,Ship of the line
1680,1680,HMY Fubbs,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Fubbs_%281682%29_RMG_M0186.jpg/300px-Fubbs_%281682%29_RMG_M0186.jpg,Shipwright's designs for Fubbs,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Royal_Yachts%2C_one_Ketch_Rigged_and_one_Smack_Rigged%2C_by_L._De_Man_RMG_BHC0979.jpg/220px-Royal_Yachts%2C_one_Ketch_Rigged_and_one_Smack_Rigged%2C_by_L._De_Man_RMG_BHC0979.jpg,,"Royal Yachts, oneKatherineSmack Rigged, and oneFubbsKetch Rigged, by L. De Man",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMYFubbs, 148 (bm),40, 12 guns, Greenwich(first launch)Woolwich Dockyard(first rebuild)Deptford Dockyard(second rebuild), 1682 (first launch)1701 (after first rebuild)22 October 1724 (after second rebuild), 63\xa0ft (19\xa0m) (overall),,, Broken up in July 1781, Royal yacht, Ketch,,,,,,,,,,, 22\xa0ft (6.7\xa0m)later 22\xa0ft 4\xa0in (6.81\xa0m), 10\xa0ft (3.0\xa0m), 9\xa0ft 8\xa0in (2.95\xa0m), 9 March 1724 (for second rebuild),,,,,,,,,,,,,Yacht
1690,1690,French ship Foudroyant (1693),,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Battle_of_Malaga%2C_1704.jpg/220px-Battle_of_Malaga%2C_1704.jpg,,"The Battle of Malaga, 13 August 1704.Foudroyantin starboard-quarter view, is closely engaged to starboard with theRoyal Katherine",,Kingdom of France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Foudroyant,," 900, + 12/15 officers", 104 guns," Blaise Pangalo,BrestDockyard", 14 November 1693, 166 French feeta,, April 1693, Taken to pieces during 1714,,,,,,,,1694,,,,, 46 French feet, 26 French feet, 21½ French feet,,,,,,,,,,,,,,
1690,1690,HMS Association (1697),//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/HMS_Association_%281697%29.jpg/300px-HMS_Association_%281697%29.jpg,"An 18th-century engraving of the Scilly naval disaster, with HMS Association in the centre",//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/National_Maritime_Museum%2C_KTP1326_-_Gun_from_the_Association.jpg/220px-National_Maritime_Museum%2C_KTP1326_-_Gun_from_the_Association.jpg,,"This French 18-pounder bronze gun, probably a trophy from the siege of Toulon (1707) was recovered from the Association site in 1970. The main decoration shows the arms of France and Navarre surrounded by the collars of the orders of St Michel and the St Esprit, surmounted by a crown. The gun carriage is modern. In the Valhalla Museum inTresco Abbey Gardens, Isles of Scilly.",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Association, 145932⁄94bm, 800 officers and men (approx.), 22demi-cannons30culverins2 × 6-pdrs24sakers2 × 3-pdrs," Bagwell,Portsmouth Dockyard", 1 January 1697, 165\xa0ft (50.3\xa0m) (gundeck), Sails,," Wrecked, 22 October 1707(OS)", 90-gunsecond-rateship of the line, Full-rigged ship,,,,,,,,, July 1697,, 45\xa0ft 4\xa0in (13.8\xa0m),, 18\xa0ft 3\xa0in (5.6\xa0m), 20 December 1694,,,,,,,,,,,,,Second Rate
1690,1690,HMS Barfleur (1697),//upload.wikimedia.org/wikipedia/commons/3/3c/HMS_Barfleur_-_The_Battle_of_Cape_Passaro%2C_1719_%28cropped%29.jpg,Barfleur,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/The_Battle_of_Cape_Passaro%2C_11_August_1718_RMG_BHC0351.tiff/lossy-page1-220px-The_Battle_of_Cape_Passaro%2C_11_August_1718_RMG_BHC0351.tiff.jpg,,The Battle of Cape Passaro,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSBarfleur,1564.6,, 90 guns of various weights of shot," Harding, Deptford Dockyard", 10 August 1697, 162\xa0ft 10.5\xa0in (49.6\xa0m) (gundeck), Sails,," Broken up, 1783", 90-gunsecond-rateship of the line, Full-rigged ship,,,,,,,,,,, 46\xa0ft 4\xa0in (14.1\xa0m),, 18\xa0ft 2.25\xa0in (5.5\xa0m),1695,,,,,,,,,,,,,Second Rate
1690,1690,HMS Cambridge (1695),,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Map_of_Woolwich%2C_1746_-_detail.jpg/220px-Map_of_Woolwich%2C_1746_-_detail.jpg,,"Woolwich Dockyard, whereCambridgewas rebuilt in 1713-15. From a 1740s engraving by Richard Parr.",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSCambridge,"1,286",, 80 guns:Gundeck: 26 × 32 pdrsMiddle gundeck: 26 × 12 pdrsUpper gundeck: 24 × 6 pdrsQuarterdeck: 4 × 6 pdrs," Harding, Deptford Dockyard", 21 December 1695, 156\xa0ft (47.5\xa0m) (gundeck), Sails,," Broken up, 1749", 1706 Establishment80-gun third rate ship of the line, Full-rigged ship,,,,,,,,,,, 43\xa0ft 6\xa0in (13.3\xa0m),, 17\xa0ft 8\xa0in (5.4\xa0m),,,,,,,,,,,,,,Third Rate
1690,1690,HMS Canterbury (1693),//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Canterbury_%281744%29_RMG_J3494.jpg/300px-Canterbury_%281744%29_RMG_J3494.jpg,Plan of the 1744 rebuild of Canterbury,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/The_Capture_of_the_Spanish_galleon_St_Joseph%2C_23_September_1739_RMG_BHC0353.jpg/220px-The_Capture_of_the_Spanish_galleon_St_Joseph%2C_23_September_1739_RMG_BHC0353.jpg,,"The Capture of the Spanish galleonSt Joseph, 23 September 1739,Chester(left, andCanterbury(right side)",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSCanterbury, 1117bm,, 60 guns:Gundeck: 24 × 24 pdrsUpper gundeck: 26 × 9 pdrsQuarterdeck: 8 × 6 pdrsForecastle: 2 × 6 pdrs," Snelgrove, Deptford", 18 December 1693, 144\xa0ft (43.9\xa0m) (gundeck), Sails,," Broken up, 1770", 1741 proposals58-gun fourth-rate ship of the line, Full-rigged ship,,,,,,,,,,, 39\xa0ft (11.9\xa0m),, 16\xa0ft 5\xa0in (5.0\xa0m),,,,,,,,,,,,,,Fourth Rate
1690,1690,HMS Chatham (1691),,,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Captain_Robert_Harland%2C_circa_1680-1751_RMG_BHC2748.tiff/lossy-page1-220px-Captain_Robert_Harland%2C_circa_1680-1751_RMG_BHC2748.tiff.jpg,,"Captain Robert Harland, circa 1680–1751. In 1714 he commanded theChatham(seen here in the background) in the Baltic underSir John Norris, but retired soon after",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSChatham, 756 (bm),, Gundeck: 22 × 18-pounder gunsUpper gundeck: 22 × 9-pounder gunsQD: 4 × 6-pounder gunsFc: 2 × 6-pounder guns," Lee, Chatham Dockyard", 20 October 1691, 134\xa0ft (40.8\xa0m) (gundeck), Sails,," Sunk as breakwater, 1749", 1719 Establishment50-gun fourth rate ship of the line, Full-rigged ship,,,,,,,,,,, 36\xa0ft (11.0\xa0m),, 13\xa0ft 4\xa0in (4.1\xa0m),,,,,,,,,,,,,,Fourth Rate
1690,1690,HMS Chester (1691),,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Attaque_d%27une_Escadre_Angloise_dans_la_Manche.jpg/220px-Attaque_d%27une_Escadre_Angloise_dans_la_Manche.jpg,,A print published in France shows theChesterduring theAction of 2 May 1707off Beachy Head,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSChester,663,, 50 guns of various weights of shot," Lawrence, Woolwich Dockyard", 21 March 1691, 125\xa0ft 1\xa0in (38.1\xa0m) (gundeck), Sails,,, 50-gunfourth rateship of the line, Full-rigged ship,,,,,,,1707,,,, 34\xa0ft 4\xa0in (10.5\xa0m),, 13\xa0ft 10.25\xa0in (4.2\xa0m),,,,,,,,,,,,,,Fourth Rate
1690,1690,HMS Cornwall (1692),//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Beginning_of_Knowles%27_action_off_Havana%2C_1_October_1748_RMG_BHC0373.tiff/lossy-page1-300px-Beginning_of_Knowles%27_action_off_Havana%2C_1_October_1748_RMG_BHC0373.tiff.jpg,"The beginning of Knowles' action off Havana, 1 October 1748, the nearest ship (here) is the Cornwall leading the line, painting by Samuel Scott (painter)",//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/End_of_Knowles%27_action_off_Havana%2C_1_October_1748.jpg/220px-End_of_Knowles%27_action_off_Havana%2C_1_October_1748.jpg,,"The end of Knowles' action off Havana, 1 October. On the right of the picture in the background, and far down to lee is Knowles's flagship theCornwallrepairing her topmast and engaged with theConquistador",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSCornwall," 1,24121⁄94(bm)", 476–520, 80 guns of various weights of shot," Winter,Southampton", 23 April 1692, 156\xa0ft 4\xa0in (47.7\xa0m) (gundeck),,," Broken up, 1761", 1719 Establishment80-gun third rate ship of the line, Full-rigged ship,, Cornwall,,,,,,,1692,, 41\xa0ft 5\xa0in (12.6\xa0m),, 17\xa0ft 3\xa0in (5.3\xa0m), 12 March 1691,,,,,,,,,,,,,Third Rate
1690,1690,HMS Devonshire (1692),//upload.wikimedia.org/wikipedia/commons/thumb/d/de/HMS_Devonshire_img_3094.jpg/300px-HMS_Devonshire_img_3094.jpg,Devonshire exploding,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Attaque_d%27une_Escadre_Angloise_dans_la_Manche.jpg/220px-Attaque_d%27une_Escadre_Angloise_dans_la_Manche.jpg,,A print published in France shows theDevonshireduring theAction of 2 May 1707off Beachy Head,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSDevonshire," 1,220 long tons (1,239.6\xa0t)",, 80 guns of various weights of shot," Wyatt, Bursledon", 5 April 1692, 156\xa0ft (47.5\xa0m) (gundeck), Sails,," Blown up in action, 1707", 80-gun third rate ship of the line, Full-rigged ship,,,,,,,,,,, 42\xa0ft 1.5\xa0in (12.8\xa0m),, 17\xa0ft (5.2\xa0m),,,,,,,,,,,,,,Third Rate
1690,1690,HMS Guernsey (1696),//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Guernsey_%281740%29_RMG_J3455.jpg/300px-Guernsey_%281740%29_RMG_J3455.jpg,Plan of the 1740 rebuild,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/The_%27Guernsey%27_before_a_light_breeze_RMG_PW6966.jpg/220px-The_%27Guernsey%27_before_a_light_breeze_RMG_PW6966.jpg,,TheGuernsey; before a light breeze,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSGuernsey, 680 bm,, 50 guns:Gundeck: 22 × 18 pdrsUpper gundeck: 22 × 9 pdrsQuarterdeck: 4 × 6 pdrsForecastle: 2 × 6 pdrs," Johnson,Blackwall Yard",1696, 131\xa0ft 9\xa0in (40.2\xa0m) (gundeck), Sails,," Sold, 1786", 50-gunfourth rateship of the line, Full-rigged ship,,,,,,,,,,, 34\xa0ft 3\xa0in (10.4\xa0m),, 13\xa0ft 6\xa0in (4.1\xa0m),,,,,,,,,,,,,,Fourth Rate
1690,1690,HMS Namur (1697),//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Combate_de_Tol%C3%B3n.jpg/300px-Combate_de_Tol%C3%B3n.jpg,HMS Namur (left) at the Battle of Toulon in 1744,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Devonshire_%281745%29%3B_Namur_%281729%29%3B_1741%3F_Establishment_80-gun_Third_Rate_design_RMG_J2396.jpg/220px-Devonshire_%281745%29%3B_Namur_%281729%29%3B_1741%3F_Establishment_80-gun_Third_Rate_design_RMG_J2396.jpg,,Plan for theNamur1745 Establishment,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSNamur," 1,56689⁄94(bm)",, 90 guns:Gundeck: 26 × 32 pdrsMiddle gundeck: 26 × 18 pdrsUpper gundeck: 26 × 9 pdrsQuarterdeck: 10 × 6 pdrsForecastle: 2 × 6 pdrs," Lawrence, Woolwich Dockyard",1697, 142\xa0ft 10.5\xa0in (43.5\xa0m) (gundeck), Sails,," Wrecked, 1749", 1719 Establishment90-gun second rate ship of the line, Full-rigged ship,,,,,,,,,,, 38\xa0ft 1\xa0in (11.6\xa0m),, 15\xa0ft 9\xa0in (4.8\xa0m),1695,,,,,,,,,,,,,Second Rate
1690,1690,HMS Newark (1695),//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Newark_%281747%29%3B_Devonshire_%281745%29%3B_Lancaster_%281749%29_RMG_J2379.jpg/300px-Newark_%281747%29%3B_Devonshire_%281745%29%3B_Lancaster_%281749%29_RMG_J2379.jpg,Plan of the 80 gun version of the Newark,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Devonshire_%281745%29%3B_Newark_%281747%29_RMG_J2395.jpg/220px-Devonshire_%281745%29%3B_Newark_%281747%29_RMG_J2395.jpg,,Newarks proposal plan to cut down and reduce the ship to a 66-gun two-decker at Portsmouth Dockyard. (1746-1747).,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSNewark, 1216bm,, 80 guns:Gundeck: 26 × 32 pdrsMiddle gundeck: 26 × 12 pdrsUpper gundeck: 24 × 6 pdrsQuarterdeck: 4 × 6 pdrs," Frame, Hull", 3 June 1695, 156\xa0ft (47.5\xa0m) (gundeck), Sails,," Broken up, 1787", 80-gunthird rateship of the line, Full-rigged ship,,,,,,,,,,, 41\xa0ft 10.5\xa0in (12.8\xa0m),, 18\xa0ft (5.5\xa0m),,,,,,,,,,,,,,Third Rate
1690,1690,HMS Orford (1698),,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/PrincesaVs3brits%C3%81ngelCortelliniS%C3%A1nchez%281858-1912%29museonavaldemadrid.jpg/220px-PrincesaVs3brits%C3%81ngelCortelliniS%C3%A1nchez%281858-1912%29museonavaldemadrid.jpg,,"Battle between the Spanish 70-gunPrincesa(right foreground) and HMSLenox,OrfordandKent,8 April 1740",,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSOrford," 1,098bm",, 70 guns:Gundeck: 26 × 24 pdrsUpper gundeck: 26 × 12 pdrsQuarterdeck: 14 × 6 pdrsForecastle: 4 × 6 pdrs," Edward Snelgrove, Deptford", 27 April 1698, 150\xa0ft (45.7\xa0m) (gundeck),,," Wrecked, 13 February 1745", 1706 Establishment70-gun third rate ship of the line, Full-rigged ship,,,,,,,,,,, 41\xa0ft (12.5\xa0m),, 17\xa0ft 4\xa0in (5.3\xa0m), 24 December 1695,,,,,,,,,,,,,Third Rate
1690,1690,HMS Phoenix (1694),,,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/A_View_of_the_Town_and_Castle_of_St._Augustine%2C_and_the_English_Camp_before_it_June_20%2C_1740_-_The_Gentleman%27s_Magazine%2C_1740.jpg/220px-A_View_of_the_Town_and_Castle_of_St._Augustine%2C_and_the_English_Camp_before_it_June_20%2C_1740_-_The_Gentleman%27s_Magazine%2C_1740.jpg,,"A View of the Town and Castle of St. Augustine, and the English Camp before it June 20, 1740,Phoenixshown.The Gentleman's Magazine, 1740",,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMSPhoenix, 273+21⁄94bm,45, 8 × 6-pdr guns on wooden trucks," John Gardner & John Dalton, Rotherhithe", 16 March 1694, 93\xa0ft 6\xa0in (28.5\xa0m) gundeck76\xa0ft 9\xa0in (23.4\xa0m) keel for tonnage,,, Hulked in 1742; sold 1744,, ship-rigged,,,,,,,,,1694,, 25\xa0ft 10\xa0in (7.9\xa0m) for tonnage,, 9\xa0ft 10.5\xa0in (3.0\xa0m), 16 November 1693,,,, 8-gun Fireship24-gun sixth rate in 1711,,,,,,,,,
